year,CH4_ppb_yearly_avg_filled,N2O_ppb_yearly_avg,EQ_COUNT_YEAR,MAX_MAGNITUDE_YEAR,population_thousands,Vertical (m),label
2006,1777.565169,319.994062,3986,4.6,169.568,10.41237,0
2007,1794.537308,321.178019,2907,4.7,173.178,12.89306,0
2008,1798.163894,321.880682,2352,3.9,176.29,14.22353,0
2009,1806.994528,322.849631,1343,4.91,177.808,14.89602,0
2010,1813.21982,323.24043,449,4.53,185.361,12.58574,1
2011,1816.403171,324.632882,2207,4.47,187.101,13.58278,0
2012,1814.271498,325.541622,1993,4.31,189.199,14.29318,0
2013,1830.779387,326.224269,1993,4.85,191.521,13.77622,0
2014,1842.967778,327.354942,2579,4,193.812,10.90044,0
2015,1851.91649,328.412833,4445,5.2,196.111,13.63319,1
2016,1860.91726,329.326461,2644,4.59,198.583,21.4965,0
2017,1865.462464,330.188917,2393,4.49,200.4,22.62279,0
2018,1871.419706,331.290321,43617,5.4,202.263,24.85174,1
2019,1873.415566,329.474271,3746,5.54,202.165,26.25322,1
2020,1886.481818,333.331167,7357,4.36,200.754,19.87122,0
2021,1913.538221,334.813657,11465,4.55,203.933,21.50552,0
2022,1927.002137,335.536477,8641,5.02,206.324,22.61092,1
2023,1938.472667,325.212812,7132,5.06,208.043,25.24155,1
2024,1943.193029,325.212812,11287,5.88,209.79,25.42009,0
