year_week,value
1976-W53,332.855
1977-W01,332.29999999999995
1977-W02,332.645
1977-W03,333.11
1977-W04,333.23
1977-W05,332.335
1977-W06,333.07000000000005
1977-W07,333.22
1977-W08,333.35
1977-W09,334.4
1977-W10,333.54499999999996
1977-W11,333.365
1977-W12,334.79499999999996
1977-W13,334.78
1977-W14,335.235
1977-W15,335.69
1977-W16,336.395
1977-W17,336.45
1977-W18,337.55499999999995
1977-W19,337.0175
1977-W20,336.48
1977-W21,336.14
1977-W22,336.54999999999995
1977-W23,337.525
1977-W24,338.625
1977-W25,335.775
1977-W26,335.32
1977-W27,336.0
1977-W28,335.40999999999997
1977-W29,334.86
1977-W30,335.27
1977-W31,333.9916666666667
1977-W32,332.7133333333333
1977-W33,331.435
1977-W34,331.89
1977-W35,330.905
1977-W36,330.995
1977-W37,331.08500000000004
1977-W38,330.395
1977-W39,331.03999999999996
1977-W40,330.475
1977-W41,331.81
1977-W42,330.235
1977-W43,329.9
1977-W44,342.37
1977-W45,331.27
1977-W46,332.3
1977-W47,332.08500000000004
1977-W48,332.11
1977-W49,333.38
1977-W50,333.28
1977-W51,334.13
1977-W52,334.91499999999996
1978-W01,334.85
1978-W02,333.985
1978-W03,336.09000000000003
1978-W04,336.15000000000003
1978-W05,336.21000000000004
1978-W06,335.02
1978-W07,335.73
1978-W08,336.265
1978-W09,335.725
1978-W10,336.27
1978-W11,336.735
1978-W12,337.2
1978-W13,338.01
1978-W14,337.91499999999996
1978-W15,338.055
1978-W16,336.78499999999997
1978-W17,338.145
1978-W18,337.985
1978-W19,338.155
1978-W20,344.635
1978-W21,339.46500000000003
1978-W22,338.685
1978-W23,338.01
1978-W24,337.33500000000004
1978-W25,337.55499999999995
1978-W26,337.59000000000003
1978-W27,336.92
1978-W28,336.25
1978-W29,335.55
1978-W30,334.82
1978-W31,342.70500000000004
1978-W32,332.375
1978-W33,333.25
1978-W34,333.42
1978-W35,333.445
1978-W36,331.25
1978-W37,331.815
1978-W38,331.985
1978-W39,332.95
1978-W40,335.75
1978-W41,331.435
1978-W42,344.66999999999996
1978-W43,332.555
1978-W44,333.4
1978-W45,333.65999999999997
1978-W46,333.27
1978-W47,333.885
1978-W48,333.67499999999995
1978-W49,333.78499999999997
1978-W50,333.92999999999995
1978-W51,335.21
1978-W52,334.995
1979-W01,338.39
1979-W02,336.83000000000004
1979-W03,336.07500000000005
1979-W04,336.745
1979-W05,336.66499999999996
1979-W06,340.74
1979-W07,336.71000000000004
1979-W08,337.4
1979-W09,337.28499999999997
1979-W10,341.895
1979-W11,338.625
1979-W12,339.5
1979-W13,339.485
1979-W14,337.025
1979-W15,339.155
1979-W16,338.49
1979-W17,338.675
1979-W18,342.065
1979-W19,338.39
1979-W20,338.36
1979-W21,340.15999999999997
1979-W22,339.385
1979-W23,341.025
1979-W24,338.6
1979-W25,339.37
1979-W26,338.625
1979-W27,337.96
1979-W28,338.06
1979-W29,336.98
1979-W30,334.07500000000005
1979-W31,337.96000000000004
1979-W32,335.9
1979-W33,330.34000000000003
1979-W34,333.68
1979-W35,335.81
1979-W36,335.02
1979-W37,333.77
1979-W38,337.63
1979-W39,333.505
1979-W40,333.7
1979-W41,333.34
1979-W42,338.895
1979-W43,335.365
1979-W44,337.475
1979-W45,336.805
1979-W46,342.725
1979-W47,336.03999999999996
1979-W48,335.255
1979-W49,335.525
1979-W50,337.37
1979-W51,335.93
1979-W52,338.485
1980-W01,349.615
1980-W02,350.095
1980-W03,340.83500000000004
1980-W04,341.4
1980-W05,349.13
1980-W06,345.09000000000003
1980-W07,346.355
1980-W08,345.7525
1980-W09,345.15
1980-W10,349.175
1980-W11,344.865
1980-W12,351.03
1980-W13,347.15
1980-W14,343.5626666666667
1980-W15,351.265
1980-W16,345.175
1980-W17,348.905
1980-W18,345.735
1980-W19,345.3
1980-W20,343.205
1980-W21,342.005
1980-W22,342.57500000000005
1980-W23,344.27190476190475
1980-W24,342.14
1980-W25,349.515
1980-W26,353.45
1980-W27,345.495
1980-W28,342.38
1980-W29,343.86
1980-W30,338.27
1980-W31,337.425
1980-W32,338.9675
1980-W33,340.51
1980-W34,341.7924579124579
1980-W35,341.63
1980-W36,341.59749999999997
1980-W37,337.59000000000003
1980-W38,336.245
1980-W39,337.015
1980-W40,335.91
1980-W41,337.605
1980-W42,336.66999999999996
1980-W43,342.37
1980-W44,337.6
1980-W45,336.78499999999997
1980-W46,338.13
1980-W47,336.78
1980-W48,337.78
1980-W49,339.21000000000004
1980-W50,343.13
1980-W51,350.8275
1980-W52,341.99
1981-W01,345.315
1981-W02,339.83500000000004
1981-W03,339.515
1981-W04,340.45
1981-W05,341.385
1981-W06,349.595
