year_week,WIND_DIRECTION_DEG,WIND_SPEED_MS,BAROMETRIC_PRESSURE_HPA,TEMP_2M_C,RELATIVE_HUMIDITY_PCT,total_ozone,mu,value
1976-W53,134.6875,8.577083,678.8125,5.825,17.479167,254.25,1.38725,332.855
1977-W01,200.803571,5.010119,679.539881,6.855952,32.946429,239,1.3584,332.3
1977-W02,216.696429,5.04881,678.653333,5.970833,30.779762,228.2,1.3564,332.645
1977-W03,192.083333,5.599405,678.8375,6.436747,31.042169,248.4,1.318,333.11
1977-W04,203.994048,4.367262,678.458929,6.422619,36.684524,244.4,1.2804,333.23
1977-W05,151.041667,3.697619,679.393452,7.082143,37.186747,249,1.2512,332.335
1977-W06,163.779762,3.92619,680.140476,7.965476,29.180723,239.2,1.267,333.07
1977-W07,163.159722,2.915972,680.138095,6.082822,40.392857,248.4,1.209,333.22
1977-W08,142.868852,7.148361,680.850595,4.47561,54.571429,257,1.165,333.35
1977-W09,120.269461,8.686228,678.567857,2.795062,58.017857,265.75,1.189,334.4
1977-W10,145.778443,7.762874,679.392262,7.725595,30.107143,264.4,1.1432,333.545
1977-W11,146.25,5.859524,678.045833,3.938621,52.946429,269.6,1.174,333.365
1977-W12,137.994012,6.309581,678.172024,4.320155,33.254545,284.8,1.1064,334.795
1977-W13,191,7.428485,677.236905,5.149102,55.107143,281.4,1.091,334.78
1977-W14,198.263473,4.553892,680.345238,5.752976,55.0625,284.75,1.125,335.235
1977-W15,161.807229,6.585542,679.12619,5.705952,30.724551,298.4,1.0944,335.69
1977-W16,182.716867,3.488554,677.973214,4.674699,65.814371,300.333,1.034,336.395
1977-W17,192.559524,2.692857,680.684524,4.577381,78.589286,295.5,1.409,336.45
1977-W18,164.702381,4.211905,679.682738,5.759524,48.957055,305.25,1.0195,337.555
1977-W19,219.642857,6.025595,679.427976,5.266667,69.577381,288.333,1.154333,337.0175
1977-W20,148.214286,5.058333,681.01131,6.91938,48.317829,286.8,1.1024,336.48
1977-W21,118.660714,11.634524,681.405357,10.53125,20.804054,290.8,1.0278,336.14
1977-W22,116.309524,10.200595,681.141667,9.039286,24.351515,294.25,1.06375,336.55
1977-W23,195.684524,4.8875,679.894643,8.004762,36.785714,291.8,1.0354,337.525
1977-W24,123.75,6.68631,682.351786,10.022024,36.369048,290.6,1.0528,338.625
1977-W25,159.017857,8.913095,682.247024,7.155952,46.196429,301.8,1.047,335.775
1977-W26,207.190184,4.430675,681.672619,6.472289,65.755952,287.2,1.176,335.32
1977-W27,152.482143,7.274405,681.439286,9.691667,29.166667,276,1.05675,336
1977-W28,187.285714,4.771429,681.75119,7.465269,37.616766,280.4,1.1068,335.41
1977-W29,143.904762,2.310714,682.306548,8.292262,52.238095,273.4,1.097,334.86
1977-W30,180.696429,2.15119,681.276786,8.967857,43.427711,271.5,1.044,335.27
1977-W31,177.113095,2.728571,681.78631,7.75119,52.684524,280.2,1.0382,333.9916667
1977-W32,192.823171,2.675,681.974405,7.672024,68.279762,266.5,1.02525,332.7133333
1977-W33,107.626506,3.336145,681.960119,9.569643,44.428571,272.4,1.0382,331.435
1977-W34,146.785714,5.806548,682.247024,9.049405,33.577381,269.2,1.0494,331.89
1977-W35,157.125,5.147619,681.591667,9.333735,23.036145,263.8,1.0354,330.905
1977-W36,190.736527,3.117964,681.932738,8.317365,50.293413,258.25,1.133,330.995
1977-W37,161.909639,2.437952,681.772024,8.95509,50.065868,257.8,1.0638,331.085
1977-W38,138.608108,2.876351,681.920238,7.354762,51.065476,254.6,1.142,330.395
1977-W39,211.359281,4.311976,680.675595,7.879042,39.796407,257,1.12325,331.04
1977-W40,137.427481,4.023664,680.630357,9.245181,24.307229,251,1.1226,330.475
1977-W41,203.482143,3.675,681.816667,6.923214,65.660714,254.333,1.21,331.81
1977-W42,165.858974,3.623077,681.990476,6.445833,45.470238,254.8,1.1748,330.235
1977-W43,39.166667,7.777778,681.844048,7.74881,24.910714,243.5,1.21075,329.9
1977-W44,142.8,2.484,681.21131,7.580723,22.301205,241,1.2222,342.37
1977-W45,163.024835,5.160806,681.116667,6.733133,20.945783,237.4,1.2654,331.27
1977-W46,192.359281,2.718563,681.267857,6.705422,27.048193,243,1.3162,332.3
1977-W47,164.976048,4.281437,681.036905,7.771856,28.389222,223.5,1.33425,332.085
1977-W48,191.684524,3.78631,679.714286,6.61506,23.554217,227.8,1.337,332.11
1977-W49,178.267857,3.592857,679.474405,7.150602,24.457831,229,1.352,333.38
1977-W50,150.266667,4.809091,681.364881,7.703012,20.313253,229,1.3706,333.28
1977-W51,254.458333,3.633929,678.377381,4.165672,31.502994,236,1.4204,334.13
1977-W52,202.119048,4.138095,680.059524,4.195484,46.886228,237,1.56425,334.915
1978-W01,256.75,6.023214,680.444048,5.674251,27.754491,244.5,1.358,334.85
1978-W02,199.107143,4.277381,682.275595,6.115152,28.22561,221.8,1.3926,333.985
1978-W03,205.196429,4.300595,682.141667,5.190184,28.842424,234.8,1.3272,336.09
1978-W04,179.27381,4.205952,680.001786,5.377778,26.89697,244.25,1.43025,336.15
1978-W05,241.047619,5.489286,676.710714,4.057759,38.005952,235,1.2686,336.21
1978-W06,195.047619,3.361905,681.374699,6.64908,26.567073,225,1.2418,335.02
1978-W07,150.38806,3.470149,679.683929,4.567424,31.439759,225.6,1.1896,335.73
1978-W08,277.282258,4.594355,680.420238,5.422293,27.439759,252.5,1.18375,336.265
1978-W09,260.595238,8.760714,679.697024,6.49881,20.714286,239.2,1.1848,335.725
1978-W10,187.940476,6.638095,681.66369,6.85988,18.700599,247.8,1.1414,336.27
1978-W11,158.232143,4.721429,679.003571,4.0875,36.011905,266.6,1.1108,336.735
1978-W12,224.27381,3.656548,679.158333,4.491791,31.095808,260,1.101,337.2
1978-W13,178.583333,4.157143,681.527381,6.772289,20.065868,261,1.095167,338.01
1978-W14,171.688623,5.553892,680.471429,4.450943,34.02994,279.6,1.0622,337.915
1978-W15,216.012195,3.485976,679.247619,4.012162,38.446429,286.2,1.053,338.055
1978-W16,225.166667,5.177381,679.880952,5.309868,37.289157,276.2,1.1636,336.785
1978-W17,176.238095,3.988095,681.143452,6.433939,31.006061,285.4,1.0516,338.145
1978-W18,124.684524,4.086905,681.064881,6.696622,50.971631,270.75,1.0895,337.985
1978-W19,170.85119,7.111905,681.450595,8.305952,28.386905,295.8,1.021,338.155
